iter	RMSE
0	9.255914368
1	9.167792976
2	9.080330993
3	8.993860906
4	8.908050147
5	8.822711214
6	8.739571908
7	8.658282046
8	8.569850408
9	8.489633847
10	8.410523652
11	8.333702364
12	8.257271113
13	8.18194056
14	8.108193892
15	8.03561601
16	7.964954439
17	7.895701543
18	7.827524015
19	7.761031312
20	7.694972352
21	7.630051126
22	7.565028294
23	7.501313137
24	7.437395539
25	7.376754866
26	7.318345006
27	7.260572125
28	7.198055517
29	7.140035577
30	7.083966213
31	7.028899185
32	6.973967111
33	6.919595892
34	6.869810637
35	6.816759698
36	6.765068284
37	6.714294838
38	6.664426974
39	6.614216084
40	6.567087787
41	6.518173661
42	6.471944962
43	6.426654013
44	6.384162762
45	6.34289753
46	6.300410392
47	6.257876053
48	6.215952177
49	6.174802917
50	6.133742108
51	6.094014384
52	6.055076839
53	6.018435538
54	5.981748289
55	5.936960568
56	5.900610977
57	5.865953113
58	5.829007076
59	5.789933347
60	5.747684433
61	5.715803497
62	5.684313575
63	5.649107639
64	5.619239599
65	5.585232122
66	5.554566096
67	5.52509711
68	5.496226295
69	5.467683173
70	5.440935895
71	5.415713994
72	5.380254849
73	5.353807538
74	5.329250918
75	5.303242179
76	5.278328944
77	5.245453387
78	5.217579306
79	5.191809163
80	5.164591948
81	5.142808016
82	5.120247284
83	5.094220474
84	5.070366958
85	5.050428457
86	5.029423825
87	5.01012096
88	4.991297274
89	4.964221326
90	4.946323182
91	4.928189041
92	4.90554512
93	4.888620465
94	4.871944939
95	4.855245403
96	4.83919525
97	4.824371447
98	4.808669662
99	4.791865432
100	4.77816916
101	4.761845998
102	4.742483385
103	4.726346907
104	4.712403024
105	4.694040022
106	4.680361775
107	4.665994196
108	4.653640982
109	4.641181667
110	4.624313533
111	4.612010927
112	4.600058388
113	4.585241477
114	4.573836084
115	4.559098357
116	4.540688175
117	4.527342644
118	4.513900325
119	4.503227795
120	4.490914676
121	4.473315241
122	4.463505981
123	4.453278921
124	4.437791832
125	4.429377534
126	4.420408077
127	4.411541202
128	4.40267154
129	4.392656309
130	4.37897105
131	4.367800091
132	4.35855973
133	4.344945122
134	4.33710705
135	4.327321534
136	4.320191476
137	4.312998149
138	4.304517791
139	4.297684097
140	4.287788331
141	4.274549811
142	4.268480932
143	4.262004675
144	4.250737285
145	4.241535463
146	4.229398336
147	4.218856446
148	4.210262663
149	4.200688519
150	4.189939949
151	4.184213071
152	4.178725839
153	4.173087395
154	4.161448142
155	4.156014179
156	4.151194533
157	4.145288083
158	4.13735642
159	4.132035499
160	4.126784315
161	4.116314729
162	4.107723461
163	4.102137431
164	4.095142703
165	4.086577162
166	4.079110907
167	4.070905123
168	4.067777042
169	4.062463564
170	4.058690437
171	4.053429408
172	4.049562251
173	4.04429053
174	4.039637818
175	4.036064393
176	4.029100123
177	4.02275775
178	4.016565503
179	4.010025525
180	4.002526979
181	3.996458327
182	3.989370764
183	3.986238026
184	3.983111057
185	3.975911601
186	3.972155401
187	3.966625424
188	3.964258492
189	3.961864001
190	3.957051579
191	3.950780142
192	3.944572899
193	3.942521658
194	3.939301582
195	3.93679055
196	3.934062279
197	3.928264571
198	3.924436355
199	3.921717176
200	3.9166034
201	3.912790306
202	3.909884662
203	3.907270048
204	3.904818263
205	3.901961642
206	3.899569837
207	3.897549494
208	3.894122987
209	3.891344417
210	3.889577362
211	3.887753948
212	3.885622877
213	3.881852924
214	3.877895832
215	3.874309024
216	3.869723955
217	3.866142456
218	3.864168551
219	3.861464755
220	3.859854194
221	3.858098715
222	3.85652806
223	3.852147921
224	3.847910174
225	3.846430978
226	3.843503409
227	3.839657783
228	3.838110365
229	3.836584708
230	3.835292968
231	3.833892226
232	3.830598352
233	3.827597702
234	3.825941227
235	3.824827304
236	3.820248415
237	3.81925454
238	3.817795669
239	3.81538183
240	3.813244472
241	3.811591542
242	3.809864493
243	3.80869341
244	3.807635391
245	3.805575753
246	3.803954132
247	3.803009108
248	3.80168744
249	3.799522769
250	3.796999762
251	3.796050301
252	3.795155057
253	3.793325239
254	3.791712799
255	3.789299374
256	3.786690813
257	3.786016286
258	3.783537799
259	3.782413109
260	3.78113664
261	3.779918073
262	3.777413608
263	3.775454714
264	3.774325973
265	3.773177923
266	3.770522697
267	3.767783107
268	3.766927968
269	3.764993371
270	3.764383279
271	3.763118259
272	3.760447759
273	3.757244768
274	3.756559185
275	3.753313471
276	3.752567747
277	3.751861978
278	3.748765114
279	3.746004653
280	3.745215453
281	3.742254784
282	3.741190777
283	3.740567348
284	3.739818109
285	3.738866433
286	3.736805063
287	3.735379226
288	3.734563111
289	3.733670841
290	3.733095476
291	3.73117578
292	3.730392816
293	3.730188269
294	3.729213501
295	3.728756083
296	3.727602111
297	3.726977266
298	3.726223762
299	3.724022504
300	3.722286876
301	3.720519019
302	3.718157831
303	3.717476974
304	3.716801546
305	3.715036173
306	3.713451988
307	3.712364265
308	3.711277455
309	3.709495037
310	3.708780835
311	3.707130328
312	3.706741871
313	3.705561473
314	3.704389988
315	3.703756381
316	3.702765606
317	3.702138754
318	3.701667855
319	3.700910257
320	3.70015049
321	3.699316573
322	3.69847743
323	3.697010682
324	3.695518194
325	3.693719939
326	3.692949778
327	3.692609599
328	3.692289392
329	3.691257902
330	3.690718814
331	3.689115008
332	3.688571044
333	3.687248365
334	3.686593983
335	3.685969187
336	3.685459949
337	3.685374859
338	3.685008457
339	3.684416951
340	3.684123693
341	3.683162125
342	3.681420252
343	3.680793077
344	3.680144541
345	3.679648745
346	3.678727871
347	3.677722535
348	3.676233728
349	3.675754206
350	3.674787341
351	3.674235695
352	3.673555944
353	3.672643246
354	3.671784288
355	3.671257839
356	3.670633324
357	3.669899274
358	3.669302866
359	3.668259074
360	3.667399164
361	3.666354425
362	3.665668714
363	3.665300311
364	3.664919026
365	3.664125531
366	3.662780075
367	3.661455046
368	3.659583508
369	3.658250622
370	3.656697555
371	3.655768171
372	3.65533665
373	3.655034365
374	3.654161667
375	3.653749198
376	3.652146879
377	3.651778059
378	3.651306847
379	3.65077917
380	3.650244396
381	3.649891714
382	3.649093385
383	3.648143206
384	3.646757092
385	3.646370002
386	3.64606391
387	3.645839778
388	3.644665336
389	3.644216978
390	3.643368931
391	3.64259137
392	3.642049658
393	3.641731604
394	3.640948925
395	3.640930196
396	3.6402369
397	3.639723113
398	3.63918375
399	3.638363552
400	3.63771817
401	3.636402733
402	3.635832879
403	3.635800436
404	3.635074446
405	3.634541127
406	3.634252074
407	3.63268159
408	3.63156161
409	3.630702734
410	3.630249928
411	3.629891358
412	3.629506857
413	3.628629144
414	3.62802653
415	3.627295207
416	3.626799333
417	3.626761746
418	3.62599195
419	3.625505563
420	3.624598931
421	3.624041573
422	3.623666336
423	3.62313784
424	3.623102065
425	3.621425004
426	3.621076334
427	3.620495617
428	3.620141231
429	3.620132592
430	3.619410903
431	3.618798604
432	3.618150176
433	3.617441287
434	3.616934376
435	3.615917937
436	3.614919991
437	3.614310864
438	3.613813305
439	3.61352023
440	3.612782956
441	3.612099361
442	3.611583917
443	3.610924843
444	3.610359573
445	3.609438852
446	3.60880335
447	3.608073632
448	3.607091091
449	3.605936014
450	3.604856949
451	3.604357439
452	3.604042555
453	3.603446549
454	3.602558182
455	3.602126576
456	3.601581325
457	3.601121485
458	3.600819777
459	3.599816669
460	3.599592869
461	3.598987259
462	3.597771544
463	3.596912157
464	3.596676676
465	3.59601382
466	3.595276802
467	3.594869155
468	3.594524266
