iter	Passed	Remaining
0	237	252347
1	283	150109
2	334	117983
3	374	99025
4	413	87360
5	456	80351
6	497	75005
7	536	70735
8	577	67544
9	618	65090
10	660	63139
11	702	61506
12	746	60205
13	795	59574
14	835	58319
15	882	57693
16	927	57024
17	974	56548
18	1018	55891
19	1058	55152
20	1101	54618
21	1145	54168
22	1189	53726
23	1232	53322
24	1281	53174
25	1325	52822
26	1369	52483
27	1411	52115
28	1451	51699
29	1492	51346
30	1534	51023
31	1578	50793
32	1626	50719
33	1668	50462
34	1709	50171
35	1753	49982
36	1792	49646
37	1831	49359
38	1872	49120
39	1916	48954
40	1955	48687
41	1994	48428
42	2040	48349
43	2080	48146
44	2122	47968
45	2163	47776
46	2213	47811
47	2253	47612
48	2295	47453
49	2337	47314
50	2381	47212
51	2422	47044
52	2462	46884
53	2500	46674
54	2544	46580
55	2584	46433
56	2626	46307
57	2672	46264
58	2712	46107
59	2756	46040
60	2798	45918
61	2843	45860
62	2888	45799
63	2933	45740
64	2972	45589
65	3013	45479
66	3053	45348
67	3099	45302
68	3141	45213
69	3182	45096
70	3224	45010
71	3266	44916
72	3313	44886
73	3352	44761
74	3395	44685
75	3445	44699
76	3485	44592
77	3527	44502
78	3570	44428
79	3612	44345
80	3654	44256
81	3695	44167
82	3739	44110
83	3780	44014
84	3822	43937
85	3867	43887
86	3911	43835
87	3953	43755
88	3993	43655
89	4040	43642
90	4086	43602
91	4128	43524
92	4168	43430
93	4210	43356
94	4258	43343
95	4300	43269
96	4344	43219
97	4383	43118
98	4424	43040
99	4469	42993
100	4509	42908
101	4552	42846
102	4595	42782
103	4641	42751
104	4684	42692
105	4720	42575
106	4762	42507
107	4803	42431
108	4850	42412
109	4891	42335
110	4933	42268
111	4974	42194
112	5019	42154
113	5059	42076
114	5103	42024
115	5146	41969
116	5188	41907
117	5237	41899
118	5278	41825
119	5327	41820
120	5366	41735
121	5407	41664
122	5448	41596
123	5489	41523
124	5529	41452
125	5568	41367
126	5618	41365
127	5660	41300
128	5702	41243
129	5751	41236
130	5788	41136
131	5830	41077
132	5882	41086
133	5924	41028
134	5968	40986
135	6010	40926
136	6052	40865
137	6094	40803
138	6138	40758
139	6182	40718
140	6223	40651
141	6265	40592
142	6308	40540
143	6350	40483
144	6391	40419
145	6435	40374
146	6480	40337
147	6524	40295
148	6569	40255
149	6611	40195
150	6654	40149
151	6698	40100
152	6741	40050
153	6784	40004
154	6826	39947
155	6868	39889
156	6916	39866
157	6959	39817
158	7000	39759
159	7042	39702
160	7083	39639
161	7127	39594
162	7170	39545
163	7216	39513
164	7260	39471
165	7303	39419
166	7344	39362
167	7388	39319
168	7400	39105
169	7446	39070
170	7488	39020
171	7531	38969
172	7572	38912
173	7614	38862
174	7655	38803
175	7701	38769
176	7740	38702
177	7783	38655
178	7830	38628
179	7874	38584
180	7916	38534
181	7959	38483
182	8004	38445
183	8044	38388
184	8089	38348
185	8131	38298
186	8171	38234
187	8215	38191
188	8258	38145
189	8297	38081
190	8338	38025
191	8380	37973
192	8422	37924
193	8466	37882
194	8506	37822
195	8548	37769
196	8591	37726
197	8633	37672
198	8679	37638
199	8723	37598
200	8766	37551
201	8810	37508
202	8855	37470
203	8899	37432
204	8942	37382
205	8983	37328
206	9026	37281
207	9070	37242
208	9111	37187
209	9157	37153
210	9196	37092
211	9241	37051
212	9283	37003
213	9337	37000
214	9377	36942
215	9419	36894
216	9460	36839
217	9502	36787
218	9545	36742
219	9587	36694
220	9634	36664
221	9682	36637
222	9722	36579
223	9759	36512
224	9802	36465
225	9846	36423
226	9888	36372
227	9932	36333
228	9976	36289
229	10017	36238
230	10059	36186
231	10100	36137
232	10140	36080
233	10184	36037
234	10233	36011
235	10276	35966
236	10319	35922
237	10365	35888
238	10407	35838
239	10451	35797
240	10494	35752
241	10540	35716
242	10582	35665
243	10627	35629
244	10679	35611
245	10724	35573
246	10766	35525
247	10810	35481
248	10855	35442
249	10897	35394
250	10940	35350
251	10986	35314
252	11028	35265
253	11071	35218
254	11114	35172
255	11159	35133
256	11201	35085
257	11245	35044
258	11286	34991
259	11328	34945
260	11369	34892
261	11410	34840
262	11458	34812
263	11498	34755
264	11552	34744
265	11591	34687
266	11628	34625
267	11668	34571
268	11707	34514
269	11745	34452
270	11784	34397
271	11826	34349
272	11866	34296
273	11909	34251
274	11950	34200
275	11995	34160
276	12039	34119
277	12082	34074
278	12125	34030
279	12165	33977
280	12206	33927
281	12247	33875
282	12290	33830
283	12338	33799
284	12380	33754
285	12426	33715
286	12473	33681
287	12513	33629
288	12558	33591
289	12606	33558
290	12646	33505
291	12689	33462
292	12730	33411
293	12737	33273
294	12785	33242
295	12827	33195
296	12874	33161
297	12919	33123
298	12961	33075
299	13004	33031
300	13050	32994
301	13092	32947
302	13135	32903
303	13180	32865
304	13223	32821
305	13266	32776
306	13306	32723
307	13350	32682
308	13393	32639
309	13436	32594
310	13479	32549
311	13522	32504
312	13563	32456
313	13610	32423
314	13655	32382
315	13696	32333
316	13735	32280
317	13778	32237
318	13825	32202
319	13869	32160
320	13918	32129
321	13963	32089
322	14004	32040
323	14045	31993
324	14092	31957
325	14142	31929
326	14182	31878
327	14223	31830
328	14264	31780
329	14313	31748
330	14357	31707
331	14398	31660
332	14443	31619
333	14485	31573
334	14526	31525
335	14568	31479
336	14608	31427
337	14613	31302
338	14656	31258
339	14698	31212
340	14741	31168
341	14787	31131
342	14832	31093
343	14876	31050
344	14920	31007
345	14973	30984
346	15016	30940
347	15064	30908
348	15107	30864
349	15149	30817
350	15192	30775
351	15237	30734
352	15284	30699
353	15325	30650
354	15367	30604
355	15410	30560
356	15459	30529
357	15500	30480
358	15545	30440
359	15592	30405
360	15640	30370
361	15684	30328
362	15722	30276
363	15765	30231
364	15804	30179
365	15843	30129
366	15882	30076
367	15926	30035
368	15970	29993
369	16013	29950
370	16059	29911
371	16101	29865
372	16149	29831
373	16191	29785
374	16236	29744
375	16278	29700
376	16318	29650
377	16358	29600
378	16400	29555
379	16442	29509
380	16485	29465
381	16524	29415
382	16561	29361
383	16601	29312
384	16644	29268
385	16684	29220
386	16727	29176
387	16770	29131
388	16820	29100
389	16863	29056
390	16902	29006
391	16947	28966
392	16989	28920
393	17036	28883
394	17079	28840
395	17083	28732
396	17128	28690
397	17172	28649
398	17218	28611
399	17259	28564
400	17304	28524
401	17345	28478
402	17387	28432
403	17393	28329
404	17437	28287
405	17481	28245
406	17523	28200
407	17565	28157
408	17609	28115
409	17649	28067
410	17700	28037
411	17739	27987
412	17780	27940
413	17827	27904
414	17873	27865
415	17917	27823
416	17960	27780
417	17968	27683
418	18007	27634
419	18047	27586
420	18101	27560
421	18145	27518
422	18187	27475
423	18229	27430
424	18238	27336
425	18281	27294
426	18322	27247
427	18368	27208
428	18412	27167
429	18415	27066
430	18456	27020
431	18497	26975
432	18541	26934
433	18580	26886
434	18622	26841
435	18665	26798
436	18706	26754
437	18760	26727
438	18802	26682
439	18848	26644
440	18890	26600
441	18930	26554
442	18978	26517
443	19018	26471
444	19062	26429
445	19100	26380
446	19143	26338
447	19184	26293
448	19225	26248
449	19267	26203
450	19309	26160
451	19351	26115
452	19399	26079
453	19448	26046
454	19490	26001
455	19533	25959
456	19575	25915
457	19616	25870
458	19661	25829
459	19698	25778
460	19738	25732
461	19781	25690
462	19825	25649
463	19873	25612
464	19915	25568
465	19961	25530
466	20008	25492
467	20051	25450
468	20098	25411
469	20140	25368
470	20187	25330
471	20238	25298
472	20282	25256
473	20325	25213
474	20372	25176
475	20417	25135
476	20468	25102
477	20510	25058
478	20553	25016
479	20601	24979
480	20647	24940
481	20692	24899
482	20741	24864
483	20782	24818
484	20823	24773
485	20867	24732
486	20909	24688
487	20957	24651
488	21000	24607
489	21042	24564
490	21081	24516
491	21120	24469
492	21170	24433
493	21211	24389
494	21254	24345
495	21292	24298
496	21335	24255
497	21376	24208
498	21420	24167
499	21463	24125
500	21509	24085
501	21550	24040
502	21592	23995
503	21642	23961
504	21683	23916
505	21728	23875
506	21771	23832
507	21813	23788
508	21851	23740
509	21894	23697
510	21937	23655
511	21982	23613
512	22022	23568
513	22068	23528
514	22116	23491
515	22159	23447
516	22200	23402
517	22244	23360
518	22290	23321
519	22340	23285
520	22387	23247
521	22431	23204
522	22473	23161
523	22519	23121
524	22561	23077
525	22607	23037
526	22649	22993
527	22691	22949
528	22735	22906
529	22781	22867
530	22822	22822
531	22872	22786
532	22919	22747
533	22964	22706
534	23011	22667
535	23053	22623
536	23093	22577
537	23133	22531
538	23185	22497
539	23229	22455
540	23283	22422
541	23322	22375
542	23367	22334
543	23373	22256
544	23418	22215
545	23461	22172
546	23504	22129
547	23548	22087
548	23593	22046
549	23632	21999
550	23675	21956
551	23719	21914
552	23764	21873
553	23808	21831
554	23851	21788
555	23896	21747
556	23942	21707
557	23982	21661
558	24024	21617
559	24030	21541
560	24070	21496
561	24111	21451
562	24157	21411
563	24198	21367
564	24245	21327
565	24289	21285
566	24331	21241
567	24373	21198
568	24414	21153
569	24457	21110
570	24499	21067
571	24544	21025
572	24583	20980
573	24626	20937
574	24666	20891
575	24709	20848
576	24760	20812
577	24800	20767
578	24843	20724
579	24886	20681
580	24931	20640
581	24973	20596
582	25017	20554
583	25061	20512
584	25101	20467
585	25140	20421
586	25182	20377
587	25187	20303
588	25230	20261
589	25269	20215
590	25314	20174
591	25361	20134
592	25404	20092
593	25451	20052
594	25492	20008
595	25533	19964
596	25574	19920
597	25616	19876
598	25664	19837
599	25708	19795
600	25751	19752
601	25795	19711
602	25842	19671
603	25883	19627
604	25925	19583
605	25970	19542
606	26014	19499
607	26055	19455
608	26097	19412
609	26139	19368
610	26181	19325
611	26231	19287
612	26274	19244
613	26315	19200
614	26321	19131
615	26363	19087
616	26406	19045
617	26413	18976
618	26458	18935
619	26497	18890
620	26539	18847
621	26581	18803
622	26623	18760
623	26665	18717
624	26708	18674
625	26747	18629
626	26791	18587
627	26833	18544
628	26875	18500
629	26918	18458
630	26959	18414
631	27000	18370
632	27043	18328
633	27088	18286
634	27128	18242
635	27170	18199
636	27213	18156
637	27254	18112
638	27305	18075
639	27348	18032
640	27392	17990
641	27432	17946
642	27477	17905
643	27522	17863
644	27563	17820
645	27603	17775
646	27652	17736
647	27694	17693
648	27741	17653
649	27784	17610
650	27827	17568
651	27870	17525
652	27910	17481
653	27955	17440
654	27997	17397
655	28038	17353
656	28084	17312
657	28129	17270
658	28174	17229
659	28220	17188
660	28264	17146
661	28311	17106
662	28359	17066
663	28407	17027
664	28451	16985
665	28493	16942
666	28538	16900
667	28580	16857
668	28624	16815
669	28666	16772
670	28708	16728
671	28750	16685
672	28793	16642
673	28836	16600
674	28879	16557
675	28920	16513
676	28965	16472
677	29005	16427
678	29046	16384
679	29089	16341
680	29138	16302
681	29181	16259
682	29223	16216
683	29266	16173
684	29308	16130
685	29350	16087
686	29396	16046
687	29439	16003
688	29485	15962
689	29528	15919
690	29573	15878
691	29614	15834
692	29656	15791
693	29698	15748
694	29744	15706
695	29784	15662
696	29829	15620
697	29871	15577
698	29911	15533
699	29958	15492
700	30002	15450
701	30046	15408
702	30089	15365
703	30132	15323
704	30179	15282
705	30222	15239
706	30265	15196
707	30307	15153
708	30346	15108
709	30388	15065
710	30429	15022
711	30474	14980
712	30518	14938
713	30560	14894
714	30611	14856
715	30654	14813
716	30706	14774
717	30747	14731
718	30792	14689
719	30837	14647
720	30887	14608
721	30937	14568
722	30979	14525
723	31022	14482
724	31067	14441
725	31109	14397
726	31155	14356
727	31195	14312
728	31239	14269
729	31279	14225
730	31319	14181
731	31360	14137
732	31404	14095
733	31449	14053
734	31491	14010
735	31533	13967
736	31575	13923
737	31616	13880
738	31660	13838
739	31704	13795
740	31752	13754
741	31791	13710
742	31834	13667
743	31877	13624
744	31918	13581
745	31962	13538
746	32008	13497
747	32056	13456
748	32099	13413
